"filename", "language", "C++", "comment", "blank", "total"
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/Channel.hpp", "C++", 39, 0, 9, 48
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/Client.hpp", "C++", 65, 9, 15, 89
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/Server.hpp", "C++", 60, 5, 13, 78
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/commands.hpp", "C++", 27, 0, 4, 31
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/irc.hpp", "C++", 23, 4, 7, 34
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/numericsMacros.hpp", "C++", 30, 11, 11, 52
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/includes/utils.hpp", "C++", 8, 0, 1, 9
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/Channel.cpp", "C++", 110, 0, 19, 129
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/Client.cpp", "C++", 53, 7, 19, 79
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/Privmsg.cpp", "C++", 74, 0, 9, 83
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/Server.cpp", "C++", 297, 11, 48, 356
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/commands.cpp", "C++", 110, 4, 23, 137
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/join.cpp", "C++", 32, 2, 9, 43
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/kick.cpp", "C++", 43, 0, 4, 47
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/main.cpp", "C++", 31, 0, 7, 38
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/nick.cpp", "C++", 41, 19, 11, 71
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/pass.cpp", "C++", 16, 0, 1, 17
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/ping.cpp", "C++", 5, 5, 2, 12
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/user.cpp", "C++", 24, 13, 14, 51
"/nfs/homes/jklocker/Documents/42_main/6_ring/ft_irc/git/ft_irc/srcs/utils.cpp", "C++", 60, 1, 8, 69
"Total", "-", 1148, 91, 234, 1473